ID,Peak1,Peak2,Cen1,Cen2,Size1,Size2,Peak,Sum,Volume,Angle,Edge
1,18.125,0.333,18.112,0.315,85.410,154.890,81.275,5874.706,256,-73.62,0
2,18.108,0.400,18.113,0.400,71.970,54.900,77.948,2681.190,85,-20.27,0
3,18.117,0.450,18.115,0.458,62.940,69.180,60.021,2056.882,82,-81.81,0
4,18.075,0.483,18.084,0.492,60.060,53.760,46.127,991.445,48,-39.66,0
5,18.158,0.500,18.169,0.504,75.480,47.250,23.854,518.603,63,-23.17,0
6,18.067,0.525,18.076,0.567,45.330,147.240,50.100,2173.183,133,-82.75,0
