ID,Peak1,Peak2,Peak3,Cen1,Cen2,Cen3,Size1,Size2,Size3,Peak,Sum,Volume,Angle,Edge
65,18.067,0.533,23.578,18.077,0.578,23.511,45.780,135.960,0.436,6.664,293.248,988,-82,0
66,18.150,0.492,23.578,18.167,0.497,23.579,73.530,78.030,0.411,3.799,99.173,476,-48,0
67,18.142,0.108,23.744,18.136,0.138,23.831,62.940,95.160,0.396,2.308,94.595,491,-89,0
68,18.150,0.108,25.404,18.152,0.127,25.408,42.360,83.790,0.539,3.025,103.368,511,-79,0
69,18.167,0.133,27.895,18.161,0.134,27.434,35.130,42.330,0.668,2.739,65.031,333,-69,0
70,18.017,0.050,23.910,18.022,0.045,23.588,40.050,65.040,0.759,4.928,112.944,460,89,1
71,17.850,0.100,22.914,17.849,0.105,22.912,26.460,22.710,0.191,1.504,5.557,36,-12,0
72,17.975,0.525,24.242,17.981,0.538,23.922,69.780,57.780,0.376,5.419,101.946,442,-35,0
73,17.792,0.475,26.068,17.796,0.477,26.050,34.500,36.900,0.304,3.053,30.676,153,-87,0
74,17.800,0.000,16.770,17.805,0.002,16.780,37.500,14.130,0.202,2.111,7.135,40,2,1
75,17.908,0.167,17.932,17.907,0.164,17.775,30.630,41.910,0.325,3.501,28.401,143,-70,0
76,17.917,0.417,18.763,17.913,0.417,18.902,28.170,36.360,0.327,2.935,27.291,132,69,0
77,17.992,0.500,19.095,17.993,0.496,19.213,35.010,38.640,0.324,2.924,33.455,167,57,0
78,18.492,0.342,18.929,18.492,0.337,19.499,26.880,49.440,0.452,1.923,35.266,189,85,1
79,18.500,0.342,20.755,18.494,0.335,20.712,25.410,49.890,0.246,2.104,16.376,86,85,1
80,18.325,0.017,20.091,18.331,0.010,19.900,67.680,30.720,0.292,1.935,27.695,151,5,1
81,18.333,0.008,22.083,18.318,0.018,21.260,84.450,48.120,0.482,2.277,77.068,392,15,1
82,18.333,0.000,23.246,18.345,0.017,23.534,54.360,50.250,0.313,2.968,56.161,233,-32,1
83,18.308,0.008,22.083,18.290,0.016,22.464,47.370,42.120,0.486,2.363,57.585,255,-1,1
84,18.383,0.017,25.072,18.364,0.025,24.731,77.640,59.010,0.445,2.542,105.176,474,27,1
85,18.392,0.025,25.902,18.386,0.037,26.179,71.460,60.660,0.915,3.086,259.533,1172,-17,1
86,18.292,0.067,23.744,18.285,0.060,23.004,60.240,46.740,0.529,2.707,91.951,422,-26,0
87,18.292,0.067,24.740,18.297,0.067,24.847,87.630,59.610,0.522,3.032,187.189,801,-15,0
88,18.342,0.008,22.748,18.303,0.017,23.428,131.820,56.580,0.741,2.877,152.065,658,7,1
89,18.275,0.017,24.740,18.251,0.014,25.307,104.910,39.780,0.621,2.200,161.506,735,-3,1
90,18.292,0.067,25.570,18.282,0.059,26.091,125.940,90.300,0.417,2.547,112.336,546,-30,1
91,18.283,0.083,26.566,18.296,0.095,27.073,53.490,40.200,0.497,2.008,55.919,306,-11,0
92,18.408,0.142,24.408,18.423,0.137,23.419,58.710,35.730,0.645,2.003,64.305,349,-1,0
93,18.467,0.117,23.246,18.460,0.124,23.311,49.560,40.260,0.414,1.867,35.035,196,-33,0
94,18.383,0.125,25.902,18.383,0.133,26.366,72.930,52.500,1.201,2.898,273.427,1342,-17,0
95,18.425,0.000,23.080,18.424,0.005,22.746,31.470,22.830,0.294,1.668,9.435,55,-6,1
96,18.433,0.042,23.578,18.424,0.029,23.397,35.790,51.690,0.192,1.811,16.978,95,-81,1
97,18.400,0.000,23.578,18.399,0.004,23.565,30.630,16.380,0.169,1.773,5.138,27,-2,1
98,18.500,0.050,23.744,18.481,0.038,23.928,51.750,43.560,0.599,2.619,74.488,368,-24,1
99,18.492,0.000,24.906,18.492,0.014,24.768,29.130,45.180,0.435,3.180,44.429,175,-75,1
100,18.475,0.025,24.906,18.473,0.030,25.715,42.870,48.420,0.462,2.042,48.009,260,-56,1
101,17.967,0.717,20.423,17.971,0.713,20.304,35.640,37.080,0.458,2.747,43.413,225,-53,0
102,17.958,0.675,22.415,17.959,0.681,22.492,43.650,71.970,0.708,3.392,107.439,535,-67,0
103,17.925,0.783,20.423,17.930,0.778,20.298,59.790,42.330,0.315,3.452,65.762,303,-4,1
104,17.883,0.767,20.589,17.891,0.768,20.624,36.060,54.000,0.279,2.381,29.955,157,75,1
105,17.842,0.800,21.087,17.848,0.791,21.048,37.890,30.930,0.430,2.974,33.823,168,23,1
106,18.442,0.083,21.917,18.441,0.079,21.568,28.080,35.400,0.420,2.006,24.660,142,80,0
107,18.175,0.092,21.917,18.182,0.099,21.838,24.660,31.740,0.195,2.757,11.776,61,-86,0
108,18.208,0.692,22.083,18.218,0.687,21.868,61.380,46.320,0.299,3.138,41.397,205,30,0
109,18.258,0.658,22.581,18.256,0.661,22.495,72.270,41.970,0.388,4.086,109.175,458,-1,0
110,18.308,0.667,22.748,18.317,0.668,22.627,47.040,44.400,0.303,2.595,39.218,206,-28,0
111,18.375,0.675,23.412,18.380,0.672,23.522,90.090,30.990,0.283,3.405,63.253,308,7,0
112,17.775,0.783,21.917,17.771,0.792,21.717,36.750,26.640,0.210,2.142,12.817,70,-4,1
113,17.733,0.008,21.751,17.732,0.012,21.992,29.160,29.460,0.304,2.202,15.920,90,-55,1
114,17.708,0.025,22.914,17.715,0.026,23.091,42.870,33.240,0.378,2.001,27.475,151,17,1
115,18.025,0.658,22.083,18.026,0.657,21.921,24.300,29.910,0.182,2.086,7.698,43,-81,0
116,18.150,0.800,22.415,18.148,0.793,22.453,41.940,25.170,0.443,4.112,41.716,179,-6,1
117,18.117,0.750,23.246,18.107,0.748,23.175,62.100,47.460,0.447,3.583,98.799,454,-21,0
118,17.783,0.483,23.246,17.791,0.491,23.060,83.550,74.550,0.506,5.891,348.150,1197,-19,0
119,18.192,0.575,22.914,18.198,0.580,22.872,46.830,43.410,0.361,3.588,56.981,263,-37,0
120,18.325,0.208,23.246,18.328,0.208,23.215,30.180,29.820,0.216,2.077,12.082,73,42,0
121,18.392,0.525,23.246,18.398,0.518,23.302,44.220,34.800,0.274,3.544,38.170,182,6,0
122,18.392,0.283,24.574,18.399,0.286,24.641,38.520,38.010,0.293,2.738,33.034,164,-42,0
123,18.375,0.300,25.570,18.371,0.296,25.508,45.990,52.710,0.431,3.427,96.817,424,66,0
124,17.792,0.617,25.072,17.792,0.616,24.983,44.070,45.990,0.325,6.155,94.060,338,61,0
125,17.775,0.567,25.736,17.774,0.568,25.679,34.380,37.950,0.265,3.108,27.842,146,66,0
126,17.933,0.000,25.570,17.939,0.004,25.515,39.480,20.070,0.241,2.222,12.191,65,-7,1
127,18.217,0.425,25.570,18.223,0.424,25.636,39.000,32.910,0.228,2.558,21.307,118,-22,0
